# id	название	описание — русский перевод CWE (MITRE cwec_v4.14)
923	Некорректное ограничение канала связи нужными конечными точками	Продукт устанавливает канал для привилегированных операций, но не проверяет, что общается с правильной конечной точкой.
924	Некорректное обеспечение целостности сообщений в канале	Продукт получает сообщение по каналу связи, но недостаточно проверяет, что оно не было изменено при передаче.
925	Некорректная проверка Intent в Broadcast Receiver	Android-приложение использует Broadcast Receiver, но не проверяет, что полученный Intent пришёл из авторизованного источника.
926	Некорректный экспорт компонентов Android-приложения	Android-приложение экспортирует компонент для других приложений, но не ограничивает, кто может его запускать или получать доступ к его данным.
927	Неявный Intent для передачи чувствительных данных	Android-приложение использует неявный Intent для передачи чувствительных данных другим приложениям.
939	Некорректная авторизация в обработчике собственной URL-схемы	Продукт использует обработчик собственной URL-схемы, но не ограничивает, кто может его вызвать.
940	Некорректная проверка источника канала связи	Продукт обрабатывает входящий запрос по каналу связи, но не проверяет, что запрос пришёл из ожидаемого источника.
941	Неверно указанный адресат в канале связи	Продукт создаёт канал для исходящего запроса, но неправильно указывает предполагаемого адресата.
942	Разрешающая кросс-доменная политика с недоверенными доменами	Продукт использует файл кросс-доменной политики (или CORS), включающий домены, которым не следует доверять.
943	Некорректная нейтрализация спецэлементов в логике запросов к данным	Продукт формирует запрос к хранилищу данных (например, к БД), но не нейтрализует или неправильно нейтрализует специальные элементы, способные изменить логику запроса.
1004	Чувствительная cookie без флага HttpOnly	Продукт хранит чувствительную информацию в cookie без флага HttpOnly.
1007	Недостаточное визуальное различие гомоглифов	Продукт показывает пользователю информацию или идентификаторы так, что визуально похожие или одинаковые символы (гомоглифы) трудно различить, и пользователь может ошибиться и выполнить небезопасное действие.
1021	Некорректное ограничение отрисовки слоёв или фреймов (Clickjacking)	Веб-приложение не ограничивает или неправильно ограничивает фреймы и слои интерфейса другого приложения или домена, и пользователь может не понимать, с каким интерфейсом взаимодействует.
1022	Ссылка на недоверенный сайт с доступом к window.opener	Веб-приложение ставит ссылки на внешние сайты, но не мешает им изменять критичные свойства объекта window.opener, например location.
1023	Неполное сравнение без учёта факторов	Продукт сравнивает сущности, для которых нужно учитывать несколько факторов, но пропускает один или несколько из них.
1024	Сравнение несовместимых типов	Продукт сравнивает две сущности разных несовместимых типов, для которых прямое сравнение не гарантирует правильного результата.
1025	Сравнение по неверным признакам	Код сравнивает две сущности по неверным признакам или характеристикам, что даёт неверный результат и порождает слабости.
1037	Удаление или изменение критичного кода оптимизацией процессора	Разработчик встраивает защитный механизм, но процессор оптимизирует выполнение так, что механизм удаляется или изменяется.
1038	Небезопасные автоматические оптимизации	Продукт использует механизм автоматической оптимизации кода, например для производительности, но оптимизации имеют побочные эффекты, нарушающие предположения безопасности.
1039	Автоматическое распознавание без защиты от состязательных искажений ввода	Продукт использует автоматический механизм, например машинное обучение, для распознавания сложных данных (изображений, звука), но не обнаруживает специально изменённый или сконструированный ввод, заставляющий механизм распознать неверный класс.
1041	Избыточный код	В продукте несколько функций, методов, процедур или макросов содержат один и тот же код.
1042	Статический член вне класса-одиночки	Код содержит член, объявленный static (но не final), в классе, который не является singleton.
1043	Элемент данных с чрезмерным числом непримитивных подэлементов	Продукт использует элемент данных с чрезмерно большим числом подэлементов непримитивных типов, например структур или составных объектов.
1044	Число горизонтальных слоёв архитектуры вне ожидаемого диапазона	Архитектура продукта содержит слишком много или слишком мало горизонтальных слоёв.
1045	Виртуальный деструктор у родителя, но не у потомка	У родительского класса есть виртуальный деструктор, а у дочернего его нет.
1046	Создание неизменяемых строк конкатенацией	Продукт создаёт неизменяемые строки операциями конкатенации.
1047	Модули с циклическими зависимостями	В продукте есть модули, ссылки которых замыкаются на них самих, то есть циклические зависимости.
1048	Вызываемый элемент с большим числом внешних вызовов	Код содержит вызываемые элементы с чрезмерным числом обращений к внешним объектам приложения (слишком большой Fan-Out).
1049	Избыточные запросы к большой таблице данных	Продукт выполняет запрос с большим числом join и подзапросов к большой таблице.
1050	Избыточное потребление ресурсов платформы в цикле	Тело или условие цикла содержит элемент, прямо или косвенно потребляющий ресурсы платформы: сообщения, сессии, блокировки или файловые дескрипторы.
1051	Инициализация жёстко заданными сетевыми параметрами	Продукт инициализирует данные жёстко заданными значениями, служащими идентификаторами сетевых ресурсов.
1052	Избыточное использование жёстко заданных литералов при инициализации	Продукт инициализирует элемент данных жёстко заданным литералом, который не является простым целым или статической константой.
1053	Отсутствие проектной документации	У продукта нет документации, описывающей его устройство.
1054	Вызов элемента на слишком глубоком горизонтальном слое	Код одного архитектурного слоя вызывает код на слое глубже соседнего, пропуская минимум один слой, и вызываемый код не входит в вертикальный вспомогательный слой.
1055	Множественное наследование от конкретных классов	Продукт содержит класс, наследующий более чем от одного конкретного класса.
1056	Вызываемый элемент с переменным числом параметров	Именованная функция или метод имеет сигнатуру с переменным числом параметров (variadic).
1057	Доступ к данным в обход компонента-менеджера данных	Продукт по замыслу использует центральный компонент управления данными, но содержит код, обращающийся к данным в обход него.
1058	Вызываемый элемент в многопоточном контексте с нефинальным статическим членом	Код содержит функцию или метод в многопоточной среде, владеющие небезопасным нефинальным статическим элементом данных.
1059	Недостаточная техническая документация	У продукта нет достаточной технической документации (бумажной или электронной) с описанием всех значимых программных и аппаратных элементов: использования, структуры, архитектуры, интерфейсов, проектирования, реализации, конфигурации, эксплуатации.
1060	Избыточное число неэффективных обращений к данным на сервере	Продукт выполняет слишком много запросов к данным, не используя эффективные средства вроде хранимых процедур.
1061	Недостаточная инкапсуляция	Продукт недостаточно скрывает внутреннее представление и реализацию данных или методов, и внешние компоненты могут неожиданно изменять данные, вызывать непредусмотренные функции или создавать непредусмотренные зависимости.
1062	Родительский класс ссылается на дочерний	Родительский класс содержит ссылки на дочерний класс, его методы или члены.
1063	Создание экземпляра класса в статическом блоке	Статический блок кода создаёт экземпляр класса.
1064	Сигнатура с чрезмерным числом параметров	Продукт содержит функцию, подпрограмму или метод с излишне большим числом параметров.
1065	Низкоуровневое управление ресурсами в компоненте для сервера приложений	Продукт использует компоненты сервера приложений, но управляет ресурсами низкоуровневыми функциями вместо API сервера приложений.
1066	Отсутствие элемента управления сериализацией	Продукт содержит сериализуемый элемент данных без соответствующего метода сериализации.
1067	Избыточные последовательные поиски по ресурсу данных	Продукт выполняет запрос к SQL-таблице или представлению, настроенный так, что индекс не используется и возможен полный перебор.
1068	Несоответствие реализации документированному проекту	Реализация продукта не соответствует проекту, описанному в документации.
1069	Пустой блок обработки исключения	Блок кода содержит пустой обработчик исключения.
1070	Сериализуемый элемент с несериализуемыми подэлементами	Продукт содержит сериализуемый элемент данных (поле или член), в котором есть несериализуемые элементы.
1071	Пустой блок кода	Исходный код содержит пустой блок.
1072	Доступ к данным без пула соединений	Продукт обращается к базе данных без пула соединений.
1073	Не-SQL элемент с чрезмерным числом обращений к данным	Продукт содержит клиент с функцией или методом, выполняющими много запросов через менеджер данных вместо эффективных возможностей БД.
1074	Класс со слишком глубоким наследованием	У класса слишком много уровней наследования, то есть родительских классов.
1075	Безусловная передача управления вне switch	Продукт выполняет безусловную передачу управления (например, goto) вне ветвящейся структуры вроде switch.
1076	Недостаточное соблюдение принятых соглашений	Архитектура, код, проект, документация или другие артефакты продукта не следуют обязательным соглашениям.
1077	Сравнение чисел с плавающей точкой неверным оператором	Код сравнивает два значения с плавающей точкой, например на равенство, операторами, не учитывающими потерю точности.
1078	Неподходящий стиль или форматирование кода	Исходный код не следует принятому стилю форматирования отступов, пробелов, комментариев и т. п.
1079	Родительский класс без виртуального деструктора	У родительского класса есть потомки, но нет виртуального деструктора.
1080	Файл исходного кода со слишком большим числом строк	Файл исходного кода содержит слишком много строк.
1082	Самоуничтожение экземпляра класса	Код содержит экземпляр класса, который вызывает метод удаления или уничтожения самого себя.
1083	Доступ к данным вне ожидаемого компонента-менеджера	Продукт должен работать с данными через определённый компонент (реляционную или NoSQL-базу), но содержит код, обращающийся к данным в обход него.
1084	Вызываемый элемент с избыточными операциями с файлами или данными	Функция или метод содержит слишком много операций с менеджером данных или файловыми ресурсами.
1085	Вызываемый элемент с большим объёмом закомментированного кода	Функция, метод или процедура содержит чрезмерно много закомментированного кода.
1086	Класс с чрезмерным числом потомков	У класса излишне много дочерних классов.
1087	Класс с виртуальным методом без виртуального деструктора	Класс содержит виртуальный метод, но не имеет виртуального деструктора.
1088	Синхронный доступ к удалённому ресурсу без таймаута	Код синхронно обращается к удалённому ресурсу без таймаута или с бесконечным таймаутом.
1089	Большая таблица со слишком большим числом индексов	Продукт использует большую таблицу с чрезмерно большим числом индексов.
1090	Метод обращается к члену другого класса	Метод класса напрямую обращается к члену другого класса.
1091	Использование объекта без вызова деструктора	Продукт содержит метод, работающий с объектом, но не вызывающий затем его финализатор или деструктор.
1092	Один элемент управления на нескольких архитектурных слоях	Продукт использует один и тот же элемент управления на нескольких архитектурных слоях.
1093	Излишне сложное представление данных	Продукт использует излишне сложное внутреннее представление структур данных или связей между ними.
1094	Избыточное сканирование диапазона индекса	Продукт выполняет сканирование диапазона индекса большой таблицы, которое может охватить много строк.
1095	Обновление значения условия цикла внутри цикла	Продукт использует цикл с условием на основе значения, которое обновляется в теле цикла.
1096	Создание singleton без блокировки или синхронизации	Продукт реализует паттерн Singleton без блокировок или другой синхронизации, гарантирующей единственный экземпляр.
1097	Хранимый элемент данных без элемента сравнения	Продукт использует хранимый элемент данных без всех функций или методов, необходимых для сравнения.
1098	Элемент данных с указателем без корректного копирования	Код содержит элемент данных с указателем без соответствующего метода копирования или конструктора.
1099	Несогласованные соглашения об именовании	Код, документация или другие артефакты продукта используют несогласованные соглашения об именовании переменных, функций, типов, файлов и т. п.
1100	Недостаточная изоляция системно-зависимых функций	Продукт или код не выносит системно-зависимую функциональность в отдельные модули.
1101	Зависимость сгенерированного кода от компонента времени выполнения	Продукт использует автоматически сгенерированный код, который не выполняется без определённого компонента поддержки.
1102	Опора на машинно-зависимое представление данных	Код использует низкоуровневое представление данных, которое может различаться на разных процессорах, машинах, ОС и других компонентах.
1103	Платформенно-зависимые сторонние компоненты	Продукт опирается на сторонние компоненты, функциональность которых различается на нужных платформах.
1104	Несопровождаемые сторонние компоненты	Продукт опирается на сторонние компоненты, которые не поддерживаются и не сопровождаются исходным разработчиком или доверенным представителем.
1105	Недостаточная инкапсуляция машинно-зависимой функциональности	Продукт использует машинно-зависимую функциональность, но недостаточно изолирует её от остального кода.
1106	Недостаточное использование символических констант	Исходный код использует литеральные константы, которые могут меняться со временем, вместо символических.
1107	Недостаточная изоляция определений констант	Исходный код использует символические константы, но их определения не собраны в централизованном месте.
1108	Чрезмерная опора на глобальные переменные	Код слишком активно использует и изменяет глобальные переменные в разных местах вместо хранения данных в более локальном контексте.
1109	Одна переменная для разных целей	В функции, блоке или другом элементе кода одна переменная используется для нескольких задач или хранения разных данных.
1110	Неполная проектная документация	Проектная документация недостаточно описывает поток управления, поток данных, инициализацию, связи между задачами и компонентами, обоснования решений и другие важные аспекты.
1111	Неполная документация ввода-вывода	Документация недостаточно описывает входы, выходы или системные и программные интерфейсы.
1112	Неполная документация выполнения программ	Документ описывает не все механизмы, которые управляют выполнением программ продукта или влияют на него.
1113	Неподходящий стиль комментариев	Исходный код использует несогласованный или не соответствующий стандартам стиль комментариев.
1114	Неподходящий стиль пробелов	Исходный код использует несогласованные или не соответствующие стандартам пробелы и отступы.
1115	Элемент исходного кода без стандартного пролога	Исходные файлы не всегда содержат стандартный для проекта заголовок или пролог.
1116	Неточные комментарии	Исходный код содержит комментарии, неточно описывающие соответствующий фрагмент кода.
1117	Функция с недостаточным описанием поведения	Сигнатура или документация функции недостаточно описывает её входы, выходы, побочные эффекты, допущения или коды возврата.
1118	Недостаточная документация обработки ошибок	Документация недостаточно описывает техники обработки ошибок и исключений.
1119	Избыточное использование безусловных переходов	Код использует слишком много безусловных переходов (например, goto).
1120	Избыточная сложность кода	Код слишком сложен по чётко определённой количественной метрике.
1121	Избыточная цикломатическая сложность Маккейба	Цикломатическая сложность кода по Маккейбу превышает желательный максимум.
1122	Избыточная сложность по Холстеду	Метрика сложности Холстеда для кода превышает желательный максимум.
1123	Избыточное использование самомодифицирующегося кода	Продукт использует слишком много самомодифицирующегося кода.
1124	Слишком глубокая вложенность	Код содержит функцию или группу, где вложенность или ветвление слишком глубоки.
1125	Избыточная поверхность атаки	Количественная оценка поверхности атаки продукта превышает желательный максимум.
1126	Переменная с излишне широкой областью видимости	Переменная объявлена в одной области видимости, а используется только в более узкой.
1127	Компиляция с недостаточным набором предупреждений	Код компилируется без достаточного набора предупреждений, что мешает найти скрытые ошибки и проблемы качества.
1164	Ненужный код	Продукт содержит код, не нужный для выполнения: он не меняет состояние и не влияет на данные или поток управления, так что его удаление ничего не изменит.
1173	Некорректное использование фреймворка валидации	Продукт не использует или неправильно использует фреймворк проверки ввода, предоставляемый языком или отдельной библиотекой.
1174	Ошибка конфигурации ASP.NET: некорректная валидация модели	Приложение ASP.NET не использует или неправильно использует фреймворк валидации моделей.
1176	Неэффективные вычисления на процессоре	Продукт выполняет вычисления неэффективными алгоритмами, которые можно оптимизировать.
1177	Использование запрещённого кода	Продукт использует функцию, библиотеку или сторонний компонент, явно запрещённые разработчиком или заказчиком.
1188	Инициализация ресурса небезопасным значением по умолчанию	Продукт инициализирует ресурс значением по умолчанию, которое администратор должен изменить, но само это значение небезопасно.
1189	Некорректная изоляция общих ресурсов в системе на кристалле (SoC)	SoC не изолирует должным образом общие ресурсы между доверенными и недоверенными агентами.
1190	DMA-устройство включается слишком рано при загрузке	Продукт включает устройство с прямым доступом к памяти (DMA) до применения настроек безопасности, что позволяет атакующему извлечь данные или получить привилегии.
1191	Отладочный и тестовый интерфейс чипа с некорректным контролем доступа	Чип не реализует или неправильно реализует проверку, авторизован ли пользователь для доступа к внутренним регистрам и тестовым режимам через физический отладочный интерфейс.
1192	Некорректный идентификатор IP-блока в SoC	У компонентов системы на кристалле нет уникальных неизменяемых идентификаторов.
1193	Включение недоверенного ядра до включения контроля доступа шины	Продукт включает компоненты с недоверенной прошивкой до включения контроля доступа к памяти и шине.
1204	Генерация слабого вектора инициализации (IV)	Продукт использует криптопримитив с вектором инициализации, но генерирует IV недостаточно непредсказуемыми или уникальными для требований этого примитива.
1209	Неотключённые зарезервированные биты	Зарезервированные биты в аппаратном проекте не отключены перед производством. Обычно они предназначены для будущих функций, но разработчики могут скрыто использовать их для отладки. Противник с доступом к этим битам может записывать в них, пытаясь скомпрометировать состояние оборудования.
1220	Недостаточная гранулярность контроля доступа	Продукт реализует контроль доступа политикой или другой функцией, чтобы ограничить чтение и запись активов недоверенными агентами, но гранулярность недостаточна, и политика слишком широка, пропуская неавторизованных агентов к чувствительным активам.
1221	Неверные значения регистров по умолчанию или параметров модулей	Код на языке описания аппаратуры задаёт небезопасные значения регистров по умолчанию или параметров IP-блоков.
1222	Недостаточная гранулярность областей, защищённых блокировкой регистров	Продукт защищает большую адресную область одним битом блокировки. Возникает конфликт: часть адресов должна оставаться записываемой во время работы, а бит блокировки конфигурации должен быть установлен при загрузке.
1223	Состояние гонки для атрибутов однократной записи	Регистр однократной записи может запрограммировать недоверенный компонент раньше доверенного, что создаёт состояние гонки.
1224	Некорректное ограничение битовых полей однократной записи	«Липкие» биты или поля однократной записи в управляющих регистрах реализованы некорректно, и программа может их перепрограммировать.
1229	Создание возникающего ресурса	Продукт управляет ресурсами или ведёт себя так, что косвенно создаёт новый ресурс, который атакующий может использовать в обход политики.
1230	Раскрытие чувствительной информации через метаданные	Продукт запрещает прямой доступ к ресурсу с чувствительной информацией, но недостаточно ограничивает доступ к метаданным, выведенным из неё.
1231	Некорректная защита бита блокировки от изменения	Продукт использует доверенный бит блокировки для ограничения доступа к регистрам или областям, но не мешает изменить его значение после установки.
1232	Некорректное поведение блокировки после смены режима питания	Бит блокировки регистров запрещает изменение конфигурации после установки, но после смены режима питания (вход в режим сна и выход из него) часть регистров или битов снова становится программируемой.
1233	Критичные аппаратные настройки без защиты битом блокировки	Продукт использует биты блокировки регистров, но не гарантирует, что они защищают системные регистры, меняющие важную аппаратную конфигурацию.
1234	Внутренние или отладочные режимы позволяют обойти блокировки	Защиту конфигурации системы можно обойти в режиме отладки.
1235	Неверное использование автоупаковки в критичных к производительности операциях	Код использует упакованные примитивы, что снижает эффективность критичных к производительности операций.
1236	Некорректная нейтрализация формул в CSV-файле (CSV Injection)	Продукт сохраняет пользовательские данные в CSV-файл, но не нейтрализует или неправильно нейтрализует элементы, которые табличный редактор может интерпретировать как команду при открытии файла.
1239	Некорректное обнуление аппаратного регистра	Аппаратный продукт не очищает чувствительную информацию во встроенных регистрах при смене пользователя блока.
1240	Криптопримитив с рискованной реализацией	Для криптографического примитива продукт использует нестандартную, непроверенную или несертифицированную реализацию алгоритма.
1241	Предсказуемый алгоритм в генераторе случайных чисел	Устройство использует предсказуемый алгоритм генерации псевдослучайных чисел.
1242	Недокументированные функции или «chicken bits»	Устройство содержит chicken bits или недокументированные функции, которые могут стать точками входа для неавторизованных субъектов.
1243	Чувствительная энергонезависимая информация не защищена при отладке	Доступ к чувствительной информации в фьюзах не ограничивается в режиме отладки.
1244	Внутренний актив доступен на небезопасном уровне отладки	Продукт использует отладочные интерфейсы с несколькими уровнями доступа, но назначает внутреннему активу неверный уровень, открывая его недоверенным отладочным агентам.
1245	Некорректные конечные автоматы в аппаратной логике	Ошибочные конечные автоматы (FSM) в аппаратной логике позволяют перевести систему в неопределённое состояние, вызвать отказ в обслуживании или получить привилегии.
1246	Некорректная обработка записи в памяти с ограниченным числом циклов записи	Продукт не реализует или неправильно реализует выравнивание износа (wear leveling) в энергонезависимой памяти с ограниченным ресурсом записи.
1247	Некорректная защита от сбоев напряжения и тактирования	Устройство не содержит или содержит некорректные схемы и датчики для обнаружения и подавления сбоев напряжения и тактирования и защиты хранимой информации.
1248	Полупроводниковые дефекты в аппаратной логике, влияющие на безопасность	Критичный для безопасности аппаратный модуль содержит полупроводниковые дефекты.
1249	Инструмент администратора с несогласованным представлением ОС	Продукт предоставляет администраторам приложение для управления частью ОС, но оно неточно определяет существующие в ОС сущности и ресурсы: его модель состояния ОС расходится с реальностью.
1250	Несогласованность независимых копий общего состояния	Продукт имеет несколько распределённых компонентов, каждый из которых хранит локальную копию общих данных (состояния или кэша), но не обеспечивает их согласованность.
1251	Зеркальные области с разными значениями	Архитектура продукта зеркалирует области памяти, не гарантируя постоянной синхронизации их содержимого.
1252	Процессор не настроен на разделение записи и исполнения	Процессор не настроен на аппаратное разделение операций записи и исполнения памяти, что позволяет атакующему исполнять данные из любой области памяти.
1253	Неверный выбор значений фьюзов	Безопасное состояние системы зависит от того, что фьюз не пережжён. Атакующий может перевести систему в небезопасное состояние, просто пережигая фьюз.
